COUN_ID,COUN_NA,TOWN_ID,TOWN_NA,CODE3,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00
10002,宜蘭縣,1000202,羅東鎮,A100020210,1156.48,1382.91,1169.79,1643.98,1670.42,2470.56,2223.44,2934.32,1497.31,1830.56,1142.46,1466.59
10002,宜蘭縣,1000202,羅東鎮,A100020211,738.20,775.65,967.25,1068.48,1216.61,1781.74,1898.07,1798.97,1356.64,1052.71,943.04,874.30
10002,宜蘭縣,1000202,羅東鎮,A100020212,682.75,689.57,678.70,745.13,1019.64,1226.29,1236.04,1341.31,917.72,788.91,655.58,663.17
10002,宜蘭縣,1000202,羅東鎮,A100020213,1810.86,1916.90,1885.12,2372.90,2705.11,3598.57,3683.44,4119.08,2632.02,2671.63,1861.01,1956.82
10002,宜蘭縣,1000202,羅東鎮,A100020214,848.52,923.75,826.13,1012.46,1235.74,1636.66,1548.44,1769.19,1163.12,1099.41,831.65,894.48
10002,宜蘭縣,1000202,羅東鎮,A100020215,796.33,854.11,820.22,900.01,1106.59,1457.01,1389.77,1507.10,1097.82,914.23,791.17,793.18
10002,宜蘭縣,1000202,羅東鎮,A100020216,635.28,667.24,640.89,679.22,865.69,1109.66,1060.16,1116.59,847.96,671.44,608.80,619.36
10002,宜蘭縣,1000202,羅東鎮,A100020217,1054.97,1044.25,1284.91,1230.45,1553.24,2175.85,2404.70,1934.60,1921.65,1246.93,1291.32,1034.00
10002,宜蘭縣,1000202,羅東鎮,A100020218,663.51,717.37,703.22,776.51,1009.33,1342.19,1282.77,1398.74,1004.58,826.17,700.80,690.50
10002,宜蘭縣,1000202,羅東鎮,A100020219,1519.46,1392.06,1515.77,1629.76,2427.51,3141.21,3381.83,3679.90,2673.59,2029.16,1706.28,1534.09
10002,宜蘭縣,1000202,羅東鎮,A100020220,1434.38,1506.39,1500.39,1795.75,2205.38,2949.67,2944.94,3196.00,2170.67,1966.11,1450.72,1452.63
10002,宜蘭縣,1000202,羅東鎮,A100020221,804.12,859.28,828.35,936.23,1198.90,1598.54,1512.13,1668.47,1150.90,976.76,807.80,825.83
10002,宜蘭縣,1000202,羅東鎮,A100020222,626.25,661.71,673.91,721.49,996.70,1317.46,1198.54,1197.80,954.18,763.69,675.85,637.49
10002,宜蘭縣,1000202,羅東鎮,A100020223,823.73,857.26,858.67,983.46,1197.18,1620.80,1725.54,1783.00,1125.01,1020.82,821.56,859.04
10002,宜蘭縣,1000202,羅東鎮,A100020224,861.32,856.84,1045.37,955.45,1176.58,1853.17,1951.66,1440.57,1669.06,904.57,1060.21,846.91
10002,宜蘭縣,1000202,羅東鎮,A100020225,601.01,685.05,794.58,745.87,807.28,1561.98,1580.18,1152.76,1249.35,671.37,735.58,666.56
10002,宜蘭縣,1000202,羅東鎮,A100020226,740.40,733.80,912.10,876.28,1054.14,1787.03,1903.94,1364.31,1497.79,855.91,950.27,745.95
10002,宜蘭縣,1000202,羅東鎮,A100020227,700.69,769.41,858.98,828.51,995.23,1528.65,1559.53,1267.37,1191.78,834.14,829.18,746.13
10002,宜蘭縣,1000202,羅東鎮,A100020228,580.82,646.51,677.45,714.62,955.41,1279.95,1224.06,1247.46,1000.94,722.89,690.38,658.10
10002,宜蘭縣,1000202,羅東鎮,A100020229,587.88,611.11,749.92,647.86,859.02,1390.89,1634.95,1050.44,1214.10,565.82,730.37,553.89
10002,宜蘭縣,1000203,蘇澳鎮,A100020301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10002,宜蘭縣,1000203,蘇澳鎮,A100020302,422.38,428.97,434.94,467.71,711.34,831.25,860.13,905.70,584.81,494.15,419.79,420.49
10002,宜蘭縣,1000203,蘇澳鎮,A100020303,815.64,1486.31,827.24,1506.06,1115.17,2767.86,1414.01,2398.21,977.21,1447.49,846.30,1353.72
10002,宜蘭縣,1000203,蘇澳鎮,A100020304,451.46,512.23,516.76,615.43,708.76,968.55,1016.84,1007.02,648.73,576.86,448.49,500.61
10002,宜蘭縣,1000203,蘇澳鎮,A100020305,384.95,422.96,503.45,672.69,771.62,1299.62,1647.51,1275.61,866.10,652.41,419.75,413.88
10002,宜蘭縣,1000203,蘇澳鎮,A100020306,272.65,343.13,454.34,522.78,547.03,830.69,1050.47,847.76,577.70,506.35,411.85,452.79
10002,宜蘭縣,1000203,蘇澳鎮,A100020307,405.82,447.64,568.74,662.90,708.36,1024.91,1256.55,1060.41,777.39,673.82,528.18,565.07
10002,宜蘭縣,1000203,蘇澳鎮,A100020308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10002,宜蘭縣,1000203,蘇澳鎮,A100020309,244.80,331.51,423.39,483.32,491.39,818.49,965.05,753.98,569.67,465.62,384.66,423.94
