Region,County,Town,102_1,102_2,102_3,102_4,102_5,102_6,102_7,102_8,102_9,102_10,102_11,102_12,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,Factory_cnt_102,Factory_cnt_103,Factory_cnt_104,Factory_employee_102,Factory_employee_103,Factory_employee_104,Factory_to_102,Factory_to_103,Factory_to_104,To_employee_102,To_employee_103,To_employee_104,To_factory_102,To_factory_103,To_factory_104,
A100100101,嘉義縣,太保市,281835.15,282031.10,291420.89,262923.28,314153.42,342443.90,366705.31,373722.47,324553.90,307809.99,194008.16,95710.85,254733.4525,237149.9231,288274.2229,272722.8178,326493.5367,358215.7526,342854.8073,305450.18,282700.6263,275819.7619,249985.971,255364.0651,252926.78,245228.29,273962.68,269448.02,317852.49,347042.25,337069.22,320842.34,292330.65,286700.89,258501.59,246203.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100102,嘉義縣,太保市,519129.25,473969.63,519787.87,533344.03,612681.11,671404.91,743277.48,702642.15,627285.81,567658.07,450341.25,309427.73,528235.3786,446990.4442,533969.0044,527747.2572,620138.342,711980.3957,778057.2169,680808.7272,611554.6551,577453.5661,508454.0346,554806.4628,524488.92,462216.90,507459.80,521410.18,603725.63,689772.23,764927.70,715115.85,632386.89,600234.19,525774.21,534904.26,5,4,4,50,40,40,88,96,70,1759,2392,1749,17.6,23.9,17.5,
A100100103,嘉義縣,太保市,908857.88,812519.28,937287.16,981176.29,1120907.29,1218551.35,1366937.18,1313712.19,1203514.79,1150269.02,962416.28,552853.13,619997.0192,514581.7769,611636.6082,607062.2953,698990.4381,800739.8394,888816.5219,775132.8142,696605.123,665801.8057,584845.593,644554.5979,615599.75,532110.69,581271.55,599772.82,680490.81,775763.08,873817.97,814193.09,720334.55,692067.78,604768.00,621432.92,75,73,76,2487,2511,2508,9854,9985,9647,3962,3977,3847,131.4,136.8,126.9,
A100100104,嘉義縣,太保市,650775.79,597719.23,672783.57,674986.79,794152.42,856816.41,931527.82,919279.48,807650.52,756312.83,533175.20,285300.36,559646.6299,484814.6266,588856.8223,582030.5596,704319.8782,811927.6404,817930.061,728193.5352,654142.5254,623273.3108,564407.0011,603826.2365,555677.39,501329.54,559622.68,575041.66,685679.20,786601.91,804127.70,764888.46,676425.49,647861.53,583633.18,582165.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100105,嘉義縣,太保市,661678.92,592290.76,661807.80,653371.21,715240.11,801459.57,864144.09,835527.41,763793.46,726509.05,626720.76,276690.91,470606.9344,410344.1382,518644.1321,509573.0451,582513.6078,650997.2532,723029.488,603301.89,558357.9484,504331.1555,456973.4879,475932.8316,467269.20,424322.26,492895.74,503454.20,567096.68,630691.28,710828.55,633703.31,577378.07,524227.09,472540.01,458860.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100106,嘉義縣,太保市,515650.89,475308.65,528331.63,519574.00,552638.09,639865.27,690910.99,642458.02,594109.05,543261.02,483963.00,182986.52,415372.6707,384517.6226,510726.4754,502545.9047,578284.6123,612126.5854,680657.4507,533224.4717,480432.7525,431756.9288,394719.9274,422848.7932,412426.68,397615.98,485371.16,496511.44,562979.61,593033.07,669171.53,560094.57,496798.40,448789.80,408165.82,407680.22,6,6,6,135,126,153,453,419,575,3358,3324,3760,75.6,69.8,95.9,
A100100107,嘉義縣,太保市,823593.94,750707.47,835731.88,804612.83,930389.47,985627.17,1056519.66,1074866.83,988208.47,968749.17,697276.00,307959.56,523113.0994,462910.8938,586243.2605,591373.0725,697236.385,779372.6209,763019.2246,687374.2397,636980.6831,606549.5264,558692.6761,579449.5167,519402.97,478679.67,557138.87,584271.99,678783.18,755062.35,750143.47,722012.21,658679.04,630477.99,577724.20,558663.31,54,54,47,1657,1733,1702,16964,18625,17680,10238,10747,10388,314.2,344.9,376.2,
A100100108,嘉義縣,太保市,633389.79,574313.19,623269.09,609427.93,761330.67,835254.17,870353.40,868403.04,778198.88,746245.01,439619.33,164686.20,478315.1945,435748.7458,513459.4032,508632.5518,613890.6184,700514.9751,675681.8792,632459.8883,574489.0135,571385.8677,496691.1501,523935.8312,474922.79,450592.26,487968.41,502525.00,597643.26,678664.44,664279.92,664330.63,594058.63,593927.12,513610.63,505141.03,7,6,0,82,64,0,159,129,0,1938,2016,0,22.7,21.5,0,
A100100109,嘉義縣,太保市,472301.69,426854.66,460283.86,468536.00,542512.86,574594.67,653141.52,625334.96,552555.38,530058.42,268896.93,140588.76,491137.2034,438011.748,519789.7784,519689.5317,632181.5295,657879.02,698734.0589,633134.4938,547865.3329,545825.9019,458014.632,501682.0356,487653.86,452932.35,493984.51,513449.21,615450.08,637358.39,686943.10,665039.23,566528.03,567358.81,473616.62,483685.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100110,嘉義縣,太保市,528147.95,460480.91,527196.45,519340.65,654964.88,716489.12,733447.55,741651.15,665754.32,636189.97,384873.18,182086.79,393597.6535,357520.0194,421411.438,401666.4556,495723.0507,543571.3639,552070.1936,528335.924,451032.3105,439313.9051,378923.9864,398637.622,390806.10,369698.72,400490.22,396843.33,482603.14,526616.23,542754.15,554959.68,466396.45,456644.90,391831.80,384337.56,5,4,4,154,158,168,1146,1248,1181,7439,7898,7030,229.1,312,295.2,
A100100112,嘉義縣,太保市,1170491.35,1065777.36,1186694.32,1190318.18,1465638.64,1549002.06,1665683.40,1639344.17,1396348.45,1340183.51,617005.54,142669.69,870251.062,817173.0407,994689.4933,1025039.325,1244652.639,1338662.612,1280049.977,1242234.145,991402.9457,1093989.607,853864.3439,997491.571,864078.89,845009.54,945307.55,1012730.87,1211711.40,1296906.91,1258449.46,1304832.46,1025174.48,1137147.65,882950.71,961709.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100113,嘉義縣,太保市,802939.84,667009.60,756691.71,775942.47,911826.21,1009478.47,1070356.22,1016564.07,923082.91,912478.89,720656.89,262096.47,549653.7061,474547.7224,594263.1212,594379.7865,696412.8697,757349.9268,809383.4491,706260.4986,664169.4736,631488.4042,550674.9645,590810.4395,545755.34,490712.90,564760.58,587242.60,677981.46,733726.59,795725.31,741850.18,686794.00,656400.71,569433.37,569616.69,22,14,15,138,88,110,454,343,411,3289,3896,3740,20.6,24.5,27.4,
A100100201,嘉義縣,朴子市,354205.20,352923.76,395655.52,382613.25,429891.84,509879.47,531407.21,482138.77,432488.92,375030.21,262323.87,41851.67,311219.021,301356.012,390771.4898,382962.7151,465966.7029,455069.0506,502725.8402,390986.2313,392343.8761,330527.677,320519.2384,292016.9081,309011.73,311621.52,371371.41,378364.18,453634.33,440874.49,494242.47,410688.70,405708.83,343567.04,331437.53,281541.58,11,12,12,349,298,359,986,1065,1225,2824,3572,3411,89.6,88.7,102.1,
A100100203,嘉義縣,朴子市,352074.77,306440.91,373363.27,371135.12,462988.00,465851.64,533551.31,517679.74,429487.58,426513.79,172679.53,58553.42,248578.8717,224961.0883,255178.212,254509.2936,354034.3168,372881.1471,364570.7483,354518.2267,284360.9484,304270.2944,231467.0855,245514.3633,246815.85,232624.25,242509.74,251453.20,344664.37,361250.20,358418.71,372383.01,294047.53,316273.80,239351.87,236707.19,4,0,0,30,0,0,23,0,0,766,0,0,5.7,0,0,
A100100204,嘉義縣,朴子市,325879.36,298307.00,327488.67,332812.89,399932.67,460822.97,488326.66,474048.18,414001.15,362441.49,211552.80,76124.22,317261.8492,273266.7456,335959.4015,335527.9687,421360.6908,477488.8307,504157.2245,429199.0706,393792.8671,357584.5207,311676.7813,322743.3576,315011.70,282575.41,319280.50,331499.02,410208.87,462594.95,495649.70,450827.15,407207.18,371691.28,322293.86,311165.80,11,8,8,115,33,44,126,43,50,1098,1292,1146,11.5,5.3,6.3,
A100100205,嘉義縣,朴子市,834677.56,761942.49,840430.75,849627.34,1066278.98,1155939.48,1215017.81,1200385.62,1047723.49,955344.61,530330.33,198188.26,664100.932,638943.5686,719449.955,779231.9723,916812.9137,1069252.845,1021347.427,972100.9985,809428.0491,836929.6196,652467.533,719117.7938,659390.86,660708.79,683732.44,769875.12,892548.35,1035900.60,1004112.45,1021086.84,837000.72,869946.61,674693.44,693321.36,6,7,7,213,205,183,535,492,549,2512,2402,3001,89.2,70.4,78.5,
A100100206,嘉義縣,朴子市,378273.01,338314.17,367516.95,364005.26,452806.48,486153.03,519115.29,517749.95,436753.24,415331.41,218835.02,116830.44,345719.4419,304520.989,363594.4182,356367.637,462921.9704,501139.2366,502715.2617,452317.5696,410184.6704,400591.3358,327736.8547,359196.8183,343267.46,314894.31,345543.56,352088.45,450670.18,485507.65,494232.07,475110.63,424157.36,416394.72,338901.01,346311.59,0,4,0,0,7,0,0,26,0,0,3723,0,0,6.5,0,
A100100207,嘉義縣,朴子市,716608.89,670065.42,750606.92,805288.62,930247.87,1100317.65,1134498.52,1088100.29,1010191.03,854873.73,701808.54,174550.38,629862.3884,518263.5205,703700.378,668750.231,838324.9137,886047.0816,1008437.861,791481.8006,835121.778,690567.0533,701205.9777,619864.7245,625395.15,535917.85,668764.76,660720.02,816137.63,858409.41,991420.73,831365.93,863569.69,717810.02,725092.13,597628.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100208,嘉義縣,朴子市,631307.05,574478.77,636011.35,649046.93,820838.31,823061.23,990712.66,988155.61,826283.62,794506.62,153914.47,49444.00,585043.5451,535707.2505,605157.4464,615492.797,815064.8787,856370.8372,866758.3051,856898.7195,683855.0756,743171.5678,573403.9554,609219.485,580894.18,553955.79,575114.05,608102.09,793493.20,829658.83,852131.98,900079.32,707150.18,772489.79,592936.61,587365.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100209,嘉義縣,朴子市,409907.46,366631.46,395172.96,388287.01,500546.40,539883.96,597206.15,590174.85,489652.35,465805.01,242360.07,134804.02,408776.1757,354719.7973,422220.1995,414060.6525,542242.9871,599546.0211,602129.7763,549002.7091,473467.867,469450.3386,385018.1621,403931.0496,405876.97,366803.11,401258.83,409088.70,527891.87,580844.92,591968.99,576667.90,489596.26,487970.22,398133.57,389441.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100210,嘉義縣,朴子市,734722.26,670540.95,749302.25,794505.08,937441.36,1105201.01,1142411.38,1116456.71,1016095.03,851962.39,602049.53,178725.19,595963.8362,521530.3093,635069.0242,666146.9615,778606.9249,919609.2874,964194.4349,826395.8706,768233.2159,704727.3958,630511.0182,635465.6253,591737.02,539295.92,603540.65,658148.01,758000.15,890924.74,947923.90,868039.38,794402.61,732528.99,651988.99,612669.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100211,嘉義縣,朴子市,513538.03,477362.68,518386.95,507368.15,596513.55,645710.68,687879.33,679774.28,607719.08,559141.13,256722.97,77988.89,396564.3848,380638.9667,437923.7305,450277.2538,533683.6437,612694.3863,586358.8153,553970.789,462044.6422,456071.5246,373555.4329,401644.9104,393751.79,393605.20,416182.75,444870.42,519559.06,593583.16,576464.16,581886.33,477783.91,474063.61,386280.37,387236.97,6,5,6,42,17,62,29,25,79,698,1487,1275,4.9,5.1,13.2,
A100100212,嘉義縣,朴子市,574175.45,546764.13,633621.09,629209.20,750585.27,806888.98,860634.25,853911.28,730936.72,673299.16,308056.73,54429.25,338900.5596,359244.8443,381462.9415,451665.5947,476072.9674,585907.662,473314.3285,523154.7997,370767.1443,442135.3968,314654.5649,393811.7155,336496.94,371482.30,362524.99,446242.09,463473.12,567631.97,465327.27,549517.47,383397.10,459577.70,325373.08,379684.77,9,6,5,185,93,45,529,220,134,2860,2362,2978,58.8,36.6,26.8,
A100100213,嘉義縣,朴子市,575684.34,520126.72,574675.34,613260.50,720471.11,848853.17,861999.77,866224.19,812765.81,689227.02,475131.93,143611.86,422929.7687,379359.733,457666.7019,458289.8878,531306.9722,650399.9006,657867.6283,574042.044,531111.028,485881.17,425737.4446,444087.8166,419930.18,392282.39,434945.57,452786.84,517245.29,630112.56,646766.28,602969.01,549203.00,505049.25,440239.93,428157.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100214,嘉義縣,朴子市,600455.39,616352.89,666412.02,631131.29,757371.60,879741.35,932080.58,912909.30,828655.19,696157.63,474906.31,127618.63,401425.5118,355115.8461,501504.9788,486025.1874,616522.7202,604135.6513,629554.3184,472111.6899,490564.8778,396773.3942,397054.8303,357523.9797,398578.44,367212.65,476607.47,480189.10,600205.70,585291.39,618930.75,495902.21,507275.67,412426.16,410580.26,344698.76,8,5,4,68,34,24,108,58,11,1595,1713,475,13.6,11.6,2.8,
A100100215,嘉義縣,朴子市,1316737.82,1227128.22,1282184.05,1218426.98,1346880.39,1406357.99,1463550.68,1397992.17,1342613.36,1245051.36,961394.09,296885.05,742974.3038,704053.3246,846296.3381,958002.3187,1068959.754,1036911.892,1000484.195,819423.4908,784361.9698,729325.7281,622915.5144,647554.9164,737704.83,728036.47,804281.46,946498.83,1040668.44,1004568.43,983601.28,860715.65,811080.78,758097.73,644134.75,624325.61,39,36,35,1026,859,885,4528,4369,3894,4413,5086,4401,116.1,121.4,111.3,
A100100216,嘉義縣,朴子市,431064.67,372406.64,380759.20,367357.47,530695.23,672670.57,606448.72,541848.04,476948.08,504688.24,251268.87,114814.23,326132.2819,277521.5387,343792.9528,348340.8025,502773.8177,459247.1854,471741.6194,383308.3528,331230.9698,318575.2614,311554.5935,308573.3254,323819.22,286975.14,326725.15,344158.00,489467.30,444922.30,463781.10,402623.92,342514.15,331143.10,322167.51,297504.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100301,嘉義縣,布袋鎮,235142.34,216175.99,236225.12,230335.86,262677.56,287913.08,321004.08,324407.69,282075.15,257578.47,158859.99,43601.19,213113.2049,190999.8375,236942.1626,232383.7346,280348.5025,304201.9278,304787.5725,271035.7237,250175.8237,235997.8133,212642.3679,225680.6103,211601.72,197506.13,225179.03,229593.32,272928.74,294713.23,299644.36,284693.68,258697.91,245307.96,219885.90,217584.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100302,嘉義縣,布袋鎮,475076.28,445172.40,514762.70,492607.76,566191.88,615699.57,648126.23,654849.09,608463.34,571116.51,414963.97,131011.80,325444.9369,317957.5314,364399.5704,426369.6969,463500.1937,543202.5601,515532.1942,486980.5713,442787.6692,454881.7898,371973.8486,387869.6289,323136.75,328788.56,346308.74,421249.94,451233.10,526258.93,506832.72,511520.36,457870.96,472826.94,384644.91,373955.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100303,嘉義縣,布袋鎮,834640.13,824368.95,872784.32,846052.18,941986.90,1051133.12,1063661.64,1071077.00,1022594.29,944374.58,723348.19,115882.35,486227.4514,458453.038,642636.7273,642390.7823,783075.912,624386.8488,695881.3806,536645.4145,568430.0581,500181.702,490425.4571,472538.5093,482778.93,474069.96,610732.65,634677.09,762350.86,604910.91,684138.56,563687.90,587793.28,519913.94,507131.50,455587.45,6,5,6,58,40,73,69,199,287,1183,4978,3928,11.4,39.8,47.8,
A100100304,嘉義縣,布袋鎮,792808.09,727849.96,848808.70,858272.95,981584.02,1128085.63,1187548.94,1235592.51,1123008.68,1056678.19,796160.31,114805.07,421096.2648,374521.2528,483427.3651,499527.7837,611416.8162,675368.896,758136.1439,628771.4929,654595.0794,583074.461,567473.7057,500320.0583,418109.68,387279.09,459427.33,493529.56,595234.93,654302.72,745342.79,660456.37,676893.46,606076.83,586804.35,482372.41,9,9,5,62,71,17,110,199,152,1776,2803,8939,12.2,22.1,30.4,
A100100305,嘉義縣,布袋鎮,252015.06,233423.15,262979.16,273730.53,338743.05,380056.67,406371.25,407340.06,373328.66,306224.97,149314.54,17902.62,231607.7155,211351.2878,255646.8687,265560.0488,320192.6871,368016.0752,368946.0301,337345.2239,292225.5844,280140.4982,239315.5909,229628.0439,229965.06,218550.84,242955.13,262371.26,311718.40,356536.88,362720.16,354344.63,302180.07,291192.08,247467.73,221390.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100306,嘉義縣,布袋鎮,399205.91,369204.81,418449.88,430467.74,502905.26,624211.37,646300.47,637537.45,573738.95,438204.79,348992.57,15439.86,346250.73,289922.2462,382406.1896,372100.9696,444783.5142,503480.0206,528606.6523,446821.3629,440222.2293,357384.2321,357538.9061,324391.1684,343794.98,299798.27,363421.41,367632.86,433011.78,487775.42,519686.55,469337.46,455218.13,371483.09,369718.25,312754.50,5,4,0,106,5,0,59,5,0,554,901,0,11.7,1.1,0,
A100100307,嘉義縣,布袋鎮,504107.59,454015.70,498856.60,515892.70,640028.76,673673.41,798579.63,813089.36,711576.31,644139.51,188165.29,716.29,411748.8491,444486.5866,414950.3432,528471.6354,554759.2245,721821.7172,576427.3036,708118.6721,512395.414,614418.1771,421412.2207,459479.0148,408828.56,459627.75,394349.89,522125.86,540076.85,699306.58,566700.24,743801.99,529849.85,638657.06,435767.37,442996.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100308,嘉義縣,布袋鎮,490802.01,444856.97,516064.68,534872.17,642801.70,705449.65,745014.75,745865.53,674097.22,636418.25,318547.48,35552.27,352920.6256,343610.7985,391573.8642,430621.0968,466666.6478,543706.179,504749.265,531349.2093,435911.4436,488585.4555,351975.3744,393696.2017,350417.57,355315.69,372133.95,425450.29,454315.75,526746.84,496231.75,558124.81,450760.50,507860.22,363965.20,379573.40,10,10,10,83,88,110,588,703,686,7088,7988,6239,58.8,70.3,68.6,
A100100310,嘉義縣,布袋鎮,662855.17,589024.22,676941.03,719462.92,857180.02,947176.21,1063380.77,1071407.98,965296.73,867196.87,546070.79,121433.49,387174.6288,325817.2354,432032.5493,424019.6683,554858.615,614822.4655,657580.5641,567579.017,544632.5748,495211.9013,428361.788,403989.9526,384428.63,336916.00,410584.04,418928.13,540173.61,595644.86,646484.06,596180.30,563185.15,514748.08,442953.67,389497.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100311,嘉義縣,布袋鎮,30630.33,29842.44,33987.79,47834.07,52748.53,47523.63,61073.61,65238.72,69222.73,59199.68,33604.68,13501.25,11537.5691,10110.87909,12137.30355,12946.2559,15858.49425,17377.90335,18620.84195,16282.81114,14463.20962,14254.54616,11462.03287,12218.54783,11455.74,10455.30,11534.74,12790.80,15438.78,16835.85,18306.62,17103.33,14955.89,14816.89,11852.48,11780.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100312,嘉義縣,布袋鎮,799529.91,716458.50,910369.53,1024849.05,1209586.62,1375753.41,1609607.53,1688059.08,1509207.51,1309274.38,968890.75,472130.84,521524.9355,448484.326,596597.4609,657105.6858,806794.6779,924248.5972,980401.4542,902532.0572,838666.2381,776219.2328,627369.386,576748.1939,517826.07,463761.67,566979.03,649215.30,785441.88,895419.34,963857.43,948012.20,867234.89,806841.19,648740.34,556058.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100313,嘉義縣,布袋鎮,229677.36,210527.84,236186.71,245759.90,292147.73,318458.83,354415.67,354111.75,307694.96,278098.74,185709.54,90673.56,224202.8673,192806.3981,249977.5943,255557.8141,316891.5176,343471.9731,355961.6215,314232.5512,292397.4499,275783.9737,236388.8293,243900.5521,222612.73,199374.23,237567.31,252489.13,308504.60,332758.36,349954.86,330067.27,302357.79,286663.69,244441.27,235151.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100401,嘉義縣,大林鎮,28535.53,23526.46,19867.47,17486.25,15059.90,18118.96,11031.88,13615.96,12589.15,17058.77,21797.35,2895.28,20276.37826,5121.006064,15831.71477,8713.985693,7946.20596,4630.020062,8001.045602,9967.633788,7530.807649,4589.34952,13347.97926,4708.505067,20132.57,5295.45,15045.74,8609.35,7735.90,4485.60,7866.03,10469.92,7787.34,4770.40,13802.67,4539.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100402,嘉義縣,大林鎮,678633.38,709298.58,749385.63,592108.95,659285.01,696900.06,704155.85,649866.41,652827.42,609627.26,450447.13,173342.96,342701.9103,368425.4042,393277.6706,412502.4925,409447.3806,477540.7915,469279.573,416000.7658,339285.652,339693.1863,286354.0448,301697.9289,340271.33,380975.59,373753.17,407549.25,398610.86,462645.29,461360.60,436963.76,350843.21,353094.13,296108.52,290875.32,10,10,10,267,295,313,1756,2067,2337,6575,7006,7468,175.6,206.7,233.7,
A100100403,嘉義縣,大林鎮,680719.77,591139.84,628154.50,619078.00,732504.43,728467.28,773447.00,754180.79,703891.61,711647.72,466245.85,127441.54,380744.6347,367228.2737,389303.7006,402621.3721,477768.1936,537262.9718,539900.2285,495323.5731,426825.433,436082.2541,350296.9296,403652.1654,378044.24,379737.68,369976.49,397786.78,465123.48,520504.61,530789.55,520283.78,441364.98,453285.76,362229.58,389172.22,10,10,10,82,88,88,210,239,237,2561,2713,2694,21,23.9,23.7,
A100100404,嘉義縣,大林鎮,791926.06,777525.53,841471.04,806128.54,922567.69,989302.23,996597.86,1039962.65,945311.28,906792.92,657558.37,149794.53,439483.9275,359228.3463,473107.3941,433148.141,553230.8235,538920.0599,579999.0458,479239.4307,471216.7983,436453.739,413855.5926,401476.4369,436366.93,371465.24,449619.70,427946.99,538588.90,522110.01,570211.71,503389.13,487268.51,453671.90,427953.33,387074.54,10,9,9,221,177,243,1004,719,717,4544,4065,2951,100.4,79.9,79.7,
A100100405,嘉義縣,大林鎮,787886.75,749843.62,853466.82,820974.87,964927.54,1099214.20,1151670.94,1129745.82,1037284.48,904779.37,564522.53,207023.86,653407.802,504148.8869,681457.0131,628259.9219,847665.2469,904678.5152,1006145.682,769434.6352,801611.6403,669602.8731,677563.0109,609021.4718,648773.57,521322.41,647625.68,620715.91,825230.76,876459.69,989167.23,808207.77,828918.05,696018.80,700643.78,587174.45,4,4,0,8,12,0,14,5,0,1781,434,0,3.6,1.3,0,
A100100406,嘉義縣,大林鎮,708156.92,599900.65,685978.91,633393.54,698037.57,776578.76,790011.49,723309.40,658762.52,676878.64,614407.18,74128.95,388874.9985,298457.7689,422331.116,367792.2615,472143.7253,503408.6235,606189.5947,429198.1852,463785.6459,370565.913,408936.5759,352686.4253,386116.94,308624.55,401364.24,363375.89,459647.87,487706.25,595960.30,450826.22,479584.22,385184.79,422866.75,340034.74,9,7,6,135,136,158,746,701,712,5529,5152,4506,82.9,100.1,118.6,
A100100407,嘉義縣,大林鎮,480002.02,448723.15,487577.48,454467.50,555086.22,613304.41,631179.11,617843.43,563192.12,514336.41,246998.21,109465.89,416575.4916,399861.1159,452846.8368,480752.575,556487.5569,639217.5495,628899.4578,555834.0082,484901.6521,481028.9892,402981.3665,441669.4024,413620.97,413482.14,430364.99,474979.80,541759.44,619279.01,618286.94,583843.44,501419.53,500005.65,416708.68,425825.69,11,11,11,235,226,227,747,691,854,3177,3060,3763,67.9,62.9,77.7,
A100100408,嘉義縣,大林鎮,577492.20,524966.82,587419.25,577439.36,680436.95,766375.17,797429.86,773053.19,727484.80,636874.51,457478.01,159392.93,468057.3115,393076.3547,486086.2784,494184.4521,566998.4401,668721.3449,676926.3086,578795.8324,538784.5154,477144.4065,444056.9518,480613.0105,464737.66,406466.26,461954.24,488250.39,551992.14,647862.52,665503.35,607962.35,557137.88,495967.82,459183.48,463372.30,4,0,0,58,0,0,83,0,0,1433,0,0,20.8,0,0,
A100100409,嘉義縣,大林鎮,392680.54,361901.91,401325.13,412829.34,456269.30,559896.87,583747.89,558652.75,525147.67,422004.28,326342.44,136710.61,397273.4437,327900.0844,411625.4783,418983.0496,485953.3949,600523.1498,630541.8223,496058.518,483011.4894,421155.391,405017.8354,396058.8453,394455.82,339069.80,391190.09,413951.99,473092.05,581791.57,619901.59,521055.76,499464.98,437770.03,418814.52,381851.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100410,嘉義縣,大林鎮,1206111.69,1093555.67,1151248.95,1020165.98,1254735.27,1420991.65,1474976.47,1438841.76,1420084.78,1297095.03,1020407.23,394268.84,732761.3595,694792.7407,738552.5653,779167.7309,872152.0293,1130809.455,1063799.485,969838.2903,874151.5623,913572.4685,739943.2174,890021.9239,727564.32,718460.43,701886.69,769811.65,849069.47,1095537.13,1045848.14,1018710.11,903929.00,949613.03,765148.93,858094.76,19,18,17,253,250,322,934,846,884,3691,3383,2746,49.1,47,52,
A100100411,嘉義縣,大林鎮,714657.96,645713.20,670504.50,524952.19,625782.24,643753.72,639033.33,621380.06,567118.74,685708.79,408049.18,124543.03,368159.8181,362891.8319,430108.2777,453451.1149,552860.636,601456.0076,478680.959,449844.3018,378047.629,403172.489,318055.2816,360395.7674,365548.68,375253.52,408755.30,448006.17,538228.51,582695.33,470603.34,472512.73,390925.59,419077.70,328889.64,347467.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100100412,嘉義縣,大林鎮,716528.16,642494.35,686865.07,678613.02,718926.49,727813.23,746863.50,742072.91,717157.90,754459.61,725722.93,160146.83,455631.4926,312419.2689,468359.5443,419182.95,548950.0065,495913.0509,616290.332,471756.5938,535700.4134,476096.4871,506537.6066,431354.5132,452399.97,323061.64,445107.56,414149.49,534421.38,480444.48,605890.59,495529.22,553948.72,494878.56,523792.50,415880.82,13,13,18,1225,1309,1712,5382,4061,10197,4394,3102,5956,414,312.4,566.5,
A100100501,嘉義縣,民雄鄉,781238.10,725261.94,752958.48,642652.87,750597.99,859708.69,880120.53,853932.42,775271.77,785843.87,589784.19,220957.65,505382.4867,496453.9695,584385.7956,601842.5983,658104.0299,700582.5427,685301.7216,629902.5471,558268.0604,558698.8234,482427.7636,510843.4157,501798.11,513365.37,555373.62,594615.80,640686.51,678729.90,673737.43,661644.42,577285.12,580739.57,498861.37,492518.27,10,9,10,329,200,197,643,408,427,1956,2040,2170,64.3,45.3,42.7,
A100100502,嘉義縣,民雄鄉,664255.95,599562.94,646970.24,581402.06,653357.61,723851.16,788197.19,764460.84,728752.77,754016.75,583580.56,155142.13,499352.6104,404865.5432,510408.331,478455.5022,536809.339,565850.8375,614946.3527,510626.2071,500155.7506,460440.4018,434917.608,435900.042,495811.00,418657.04,485068.81,472710.31,522602.03,548200.76,604569.29,536357.54,517193.25,478604.84,449732.81,420263.29,10,9,8,142,136,128,299,333,331,2104,2447,2587,29.9,37,41.4,
A100100503,嘉義縣,民雄鄉,1320882.65,1169832.65,1257352.88,1419166.97,1635241.08,1552263.19,1528803.58,1510874.78,1472704.55,1488015.80,1315935.12,487168.76,1324810.622,1113572.882,1367664.475,1531807.631,1878129.265,1778346.724,1791385.33,1579768.774,1546601.729,1529021.402,1431139.199,1372048.222,1315414.53,1151506.06,1299765.97,1513414.01,1828422.30,1722876.35,1761156.16,1659376.04,1599285.77,1589341.51,1479890.08,1322829.65,7,7,7,69,70,79,149,156,175,2158,2234,2215,21.3,22.3,25,
A100100504,嘉義縣,民雄鄉,811526.15,743913.65,821694.05,821002.28,969127.78,1024247.69,1105312.38,1093337.63,1003031.60,952515.54,658747.39,195092.07,643186.9617,604772.0504,702121.3987,744120.481,870133.6094,1001301.086,961166.7638,881569.211,797219.6991,791211.1592,658501.4126,714793.5325,638625.22,625373.24,667264.17,735185.24,847104.47,970068.40,944947.32,925993.00,824376.50,822424.55,680932.86,689152.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
