Region,County,Town,102_1,102_2,102_3,102_4,102_5,102_6,102_7,102_8,102_9,102_10,102_11,102_12,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,Factory_cnt_102,Factory_cnt_103,Factory_cnt_104,Factory_employee_102,Factory_employee_103,Factory_employee_104,Factory_to_102,Factory_to_103,Factory_to_104,To_employee_102,To_employee_103,To_employee_104,To_factory_102,To_factory_103,To_factory_104,
A100081106,南投縣,水里鄉,693934.79,624467.92,709154.80,656715.47,728945.02,727377.45,727523.72,739343.58,704142.74,691437.98,601454.96,484055.95,462207.6634,466269.5725,476108.3061,510174.73,487191.3386,566421.2911,510688.8032,542443.3562,449630.1058,514819.1044,422508.3517,512549.1234,458929.50,482152.76,452471.63,504048.66,474297.23,548753.42,502071.06,569778.01,464946.48,535128.79,436900.84,494162.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081202,南投縣,信義鄉,271741.90,231224.11,255464.01,258537.98,271017.02,266290.93,276665.87,282732.23,274998.85,270642.40,257296.63,229773.71,233169.3109,182475.5907,225449.9237,211673.5815,230904.4868,231634.8273,246626.3975,216335.8732,216384.4657,207806.7545,205052.2893,242070.2551,231515.58,188691.51,214257.33,209131.85,224793.32,224409.65,242464.64,227237.41,223755.47,216004.76,212037.27,233386.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081301,南投縣,仁愛鄉,674976.26,404853.60,504419.44,499548.25,616158.98,483052.73,553586.13,502468.40,542368.05,498290.01,536764.52,461149.03,488836.2944,368080.6674,504450.6273,457227.0555,567757.2633,482524.2149,569147.6106,456144.4181,504085.4672,464061.7107,504421.307,484807.7351,485369.27,380619.11,479406.88,451736.77,552730.88,467473.27,559543.39,479130.32,521256.83,482369.01,521604.11,467416.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081302,南投縣,仁愛鄉,330305.02,293219.83,295814.20,326001.72,326120.19,339520.05,335105.07,356467.95,316132.59,342222.89,293248.19,300944.94,272770.7201,247874.323,281406.4061,289585.7847,295974.935,315264.7092,311253.005,303875.9483,279142.6853,302787.4623,269576.2791,320102.2758,270836.12,256318.01,267435.82,286108.50,288141.60,305430.94,306000.69,319188.78,288651.51,314732.47,278759.23,308619.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081303,南投縣,仁愛鄉,897698.72,588223.19,712243.78,615080.83,719154.38,616480.05,723100.83,630254.50,694479.41,640378.46,748767.51,683036.50,775711.8316,562112.1633,776919.8307,582640.4632,717201.691,599391.4291,759574.2109,588428.1437,689353.9401,595494.5469,705762.2317,685335.1101,770210.17,581260.17,738349.19,575644.24,698220.08,580695.15,746756.59,618080.05,712836.36,618986.89,729803.59,660750.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100081304,南投縣,仁愛鄉,218635.71,218377.98,216460.11,231106.72,219197.44,236594.42,219796.45,243533.68,213264.26,242080.63,216422.02,241856.32,229257.0335,222010.1405,231191.8973,234454.7935,231974.2699,254415.2362,229988.904,236493.8767,217314.7849,247592.001,216114.7436,255772.1023,227631.05,229572.78,219714.24,231639.51,225834.79,246479.49,226107.90,248411.21,224717.48,257359.54,223476.56,246596.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080305,南投縣,草屯鎮,799878.61,696919.86,810220.87,837053.93,948814.44,1012660.54,1117599.30,1045883.83,946050.70,896363.56,765358.07,614495.57,512619.7765,428676.2365,519825.9018,522438.8854,584581.5073,661055.7076,758006.9742,654962.7694,586245.5735,570320.16,491231.9446,554286.7703,508984.07,443278.83,494018.84,516165.55,569109.85,640435.99,745215.80,687967.47,606215.67,592819.37,507965.46,534403.21,7,7,7,297,286,371,1225,1423,1416,4123,4975,3815,175,203.3,202.2,
A100080316,南投縣,草屯鎮,408612.76,372480.49,432476.75,447757.86,497636.78,542475.10,619922.62,576096.47,528620.72,493169.17,422372.26,393758.19,396168.1445,338132.2132,399972.2363,398576.8868,448363.6262,505890.4675,572738.5874,493237.6561,435775.1658,418458.0899,363668.3697,411939.1488,393358.36,349650.48,380115.38,393790.86,436497.14,490110.68,563073.77,518092.75,450619.58,434966.32,376056.51,397161.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A100080326,南投縣,草屯鎮,363302.65,329710.06,356026.82,347441.20,402566.61,446376.39,445611.97,427252.65,389439.58,389085.01,363325.40,303074.49,297793.0687,290124.1098,300568.268,316389.8624,334114.9568,376842.6239,361260.2647,377592.4566,306308.6726,348118.487,273048.2679,319719.3701,295681.00,300007.01,285646.38,312590.72,325272.20,365088.11,355164.09,396619.99,316742.89,361851.81,282349.49,308250.29,7,7,7,80,99,61,288,302,118,3606,3053,1935,41.2,43.2,16.9,
A100080332,南投縣,草屯鎮,793010.53,675368.99,783444.39,822361.61,863243.91,1057488.41,1078158.13,1090171.52,1036706.71,851962.45,809746.15,537643.46,607833.6517,452452.3575,644917.287,576211.6169,718901.7553,799346.4775,955697.4708,685336.6855,756592.3547,578925.8157,624254.3769,546892.8843,603522.65,467864.87,612899.99,569292.59,699875.15,774413.18,939570.32,719871.98,782365.21,601764.52,645519.22,527274.56,14,14,12,462,471,498,946,1047,982,2047,2222,1972,67.6,74.8,81.9,
